Fruit,City,Market_Type,Quality,Season,Supply_Level,Demand_Level,Transport_Cost,Price_per_kg
Orange,Mumbai,Wholesale,Premium,Winter,0.9789704563856223,1.460049573640644,24.012142938751122,123.19
Orange,Lucknow,Mandi,Premium,Summer,0.9929968180548739,1.2380147648616306,20.0474905887536,115.77
Grapes,Lucknow,Retail,Average,Monsoon,1.1622957520600656,1.4101633462066399,12.018300251041573,134.04
Banana,Jaipur,Retail,Good,Spring,1.7577211456459776,1.0408731800375528,9.45152835142061,42.62
Banana,Kolkata,Wholesale,Premium,Monsoon,1.0614061936341805,0.9965137176535127,21.25599134515005,63.41
Pineapple,Jaipur,Wholesale,Good,Spring,1.6657203738911552,1.1467233997886441,13.484440184939526,35.3
Watermelon,Chennai,Wholesale,Average,Summer,1.5215591406453635,0.8900051770339759,13.004457857440496,22.81
Apple,Jaipur,Wholesale,Good,Summer,0.5182317120347245,1.4759030613661113,5.863198239011522,305.15
Grapes,Chennai,Mandi,Average,Spring,0.7493231478638793,0.8734472852691929,10.889878936788598,103.11
Apple,Kolkata,Retail,Good,Winter,0.5681695705121868,0.9247705516737842,24.008229681531176,234.06
Grapes,Ahmedabad,Retail,Good,Spring,1.375484167776308,0.7621877095719878,24.48789615332333,95.87
Papaya,Mumbai,Wholesale,Premium,Summer,1.5270967588308189,0.830093551475913,23.21854368987685,50.23
Banana,Lucknow,Retail,Good,Winter,0.539550461745878,1.0011706935024396,21.211066615636657,106.61
Apple,Kolkata,Retail,Average,Summer,1.7631783847035631,1.3706629637689103,14.373863195899405,99.59
Pineapple,Hyderabad,Wholesale,Premium,Winter,1.8697486283864642,1.1681196258603777,19.52241688143696,48.42
Watermelon,Lucknow,Mandi,Premium,Summer,0.6937391227272425,1.463240821806978,17.123492689017603,86.13
Banana,Ahmedabad,Mandi,Good,Monsoon,1.658477587603459,1.1161308008895947,22.0436300063708,45.7
Papaya,Kolkata,Retail,Good,Winter,0.701022842675961,0.7230261410506711,20.10274511347238,66.16
Orange,Pune,Retail,Good,Monsoon,1.4549664824334239,1.1438524868337805,6.820041821026606,68.16
Banana,Chennai,Wholesale,Good,Summer,1.0948141734819052,1.1976693601822987,22.247274174934905,59.2
Mango,Ahmedabad,Wholesale,Good,Monsoon,0.9931274154312624,1.2067206834533806,9.802912375563862,92.23
Orange,Jaipur,Mandi,Average,Spring,0.7082407589741152,1.2126997958425716,8.637601687982897,88.09
Orange,Delhi,Wholesale,Good,Winter,0.7534025946082468,0.9228722712255668,8.540209685534936,71.45
Grapes,Hyderabad,Wholesale,Premium,Summer,1.8413258943438886,0.8029987186397151,11.601990266203108,51.27
Guava,Hyderabad,Mandi,Good,Winter,0.5916169397822957,0.921502118517763,21.124025595861227,104.57
Apple,Bangalore,Wholesale,Average,Winter,1.226784477786532,1.1946038172242368,12.378272791395448,106.31
Pomegranate,Bangalore,Mandi,Average,Winter,1.624424348012881,0.7243777221868752,22.344299621494464,88.49
Papaya,Bangalore,Mandi,Average,Spring,1.065926244656934,0.7160569582221811,11.441583311663566,31.42
Guava,Mumbai,Wholesale,Premium,Spring,1.473234260437364,1.0836656814034002,16.683989694283383,57.36
Papaya,Delhi,Mandi,Premium,Spring,0.9256638586980868,0.9904658371189081,17.918344826632023,67.4
Papaya,Kolkata,Wholesale,Premium,Summer,0.7292887087764981,0.8967661827076064,8.213627465191113,51.67
Pomegranate,Pune,Wholesale,Average,Winter,1.1155952404844922,1.4859028935268852,7.240778043361047,139.64
Mango,Hyderabad,Retail,Premium,Monsoon,1.5029648298866465,1.4435007913020685,16.135257860278596,127.6
Pomegranate,Lucknow,Mandi,Premium,Spring,1.9519910997563514,1.2687619830693986,8.990138546766396,130.42
Apple,Lucknow,Retail,Good,Summer,1.8980215133854013,0.9565137537276114,16.877661951157975,103.21
Papaya,Delhi,Retail,Premium,Winter,0.8025956934953538,1.2476572383038667,6.757362224853136,109.43
Papaya,Pune,Mandi,Good,Winter,1.7459291116815936,1.47202152853321,7.485944469710894,37.07
Pomegranate,Jaipur,Retail,Average,Winter,1.5823948261269156,0.7384757151712701,20.630289635028298,98.88
Orange,Kolkata,Wholesale,Premium,Winter,1.284598137153679,0.987064387298802,22.544010816262166,74.86
Guava,Delhi,Mandi,Good,Spring,0.9520668112462132,1.2980875041410007,15.054407801849583,97.43
Pineapple,Delhi,Retail,Premium,Spring,1.3142739659201133,1.045222514509154,11.656315718249687,74.36
Orange,Ahmedabad,Retail,Average,Winter,1.3001916379644822,1.4151140664407662,20.771944224490614,83.13
Grapes,Pune,Wholesale,Good,Spring,1.6436880286110358,1.4014125094093997,11.841634974318149,75.05
Papaya,Chennai,Wholesale,Average,Summer,1.2295362229934117,1.0271641416683945,20.4376396119649,39.37
Mango,Chennai,Retail,Average,Winter,0.7723965752021384,1.4267604490669026,16.66783589532241,153.34
Pomegranate,Pune,Mandi,Good,Monsoon,1.8677786132644472,0.8112929553144494,7.01589206031773,82.35
Mango,Chennai,Wholesale,Premium,Spring,1.656870002779607,0.9995482957763375,6.378430787344376,52.47
Orange,Ahmedabad,Wholesale,Good,Winter,0.6698570687611329,1.4878729591698676,21.777961728918683,127.57
Pomegranate,Kolkata,Mandi,Premium,Summer,1.7042801728970172,0.7037056184036823,11.669983433822884,100.47
Mango,Jaipur,Retail,Average,Monsoon,1.0204298028443415,1.2900009984877987,14.044358817796143,106.59
Orange,Hyderabad,Wholesale,Average,Spring,1.8722688516021502,0.9899151192933064,16.61176700556087,30.57
Papaya,Lucknow,Retail,Premium,Summer,1.9416054762041828,0.8189301822024904,13.292482474540474,41.01
Pineapple,Bangalore,Mandi,Average,Monsoon,0.7860315809954999,0.7292397342784759,14.441338902199984,52.33
Pomegranate,Bangalore,Retail,Premium,Monsoon,1.2914715952171787,1.1275647130057975,14.621758967751719,286.2
Mango,Mumbai,Wholesale,Average,Winter,0.9084527820804491,1.4179443278551074,15.531569333185875,116.18
Apple,Pune,Mandi,Good,Winter,0.5406439887552252,0.8775777295463595,9.621495931761428,185.72
Orange,Bangalore,Wholesale,Average,Spring,0.8647582864991812,1.2778135454845274,22.113929362125717,84.23
Mango,Chennai,Wholesale,Good,Summer,0.9859850916601994,0.7695400119602794,17.664815498219212,61.76
Orange,Chennai,Wholesale,Good,Monsoon,1.4371419065648765,0.9686926857198681,21.502146628453197,58.38
Orange,Pune,Mandi,Premium,Summer,1.3280707712779702,1.0489012233082533,10.889315190838353,75.26
Apple,Delhi,Mandi,Premium,Monsoon,1.5482687797413566,1.0220400348775844,9.36046214988173,138.66
Papaya,Chennai,Retail,Good,Summer,0.9084609897790534,0.7147125412379733,23.28597613120998,54.63
Papaya,Delhi,Wholesale,Premium,Summer,1.5803038724484437,0.7852629841029395,7.80037077320898,27.15
Guava,Hyderabad,Mandi,Good,Spring,1.241410775207407,1.1586355025435204,21.762139263565917,74.72
Banana,Hyderabad,Mandi,Premium,Winter,1.6564788883032178,0.7545997642832732,21.741579814060586,42.0
Mango,Mumbai,Mandi,Average,Spring,1.2140756032986495,1.2309369322901185,23.73659478649516,97.49
Mango,Chennai,Mandi,Average,Spring,1.2445493708018545,1.1774742791335113,11.684877816339217,71.01
Watermelon,Delhi,Wholesale,Premium,Summer,1.1191903259101283,1.2639404397511624,16.965721165363092,49.88
Banana,Kolkata,Mandi,Good,Monsoon,1.0414608454100402,0.7732656586613073,23.346271509244858,53.35
Apple,Lucknow,Wholesale,Average,Summer,1.3128514210675373,1.3983566687011266,19.644497728191226,100.77
Papaya,Hyderabad,Wholesale,Good,Summer,1.539762817185387,0.7412766453269679,18.398349291000784,34.87
Watermelon,Pune,Wholesale,Average,Monsoon,1.8732324463820627,0.727156782868639,18.9484053449368,25.96
Banana,Pune,Wholesale,Good,Winter,1.7668240978026055,0.9552803785946045,21.57830948301355,39.49
Apple,Ahmedabad,Mandi,Premium,Monsoon,1.2953976989523501,1.0528257293985293,13.089708993637014,160.31
Mango,Hyderabad,Wholesale,Premium,Monsoon,1.1402255849822964,1.4013323022899595,13.350121680557843,117.92
Orange,Lucknow,Retail,Good,Winter,1.293405701040818,1.451254158810317,20.975664715473307,105.75
Grapes,Jaipur,Mandi,Premium,Monsoon,1.0045556957426331,1.1180153533076185,19.645436143692905,162.38
Apple,Bangalore,Wholesale,Good,Spring,0.9444621806839851,0.8868862008399279,5.841863792727238,93.95
Pomegranate,Chennai,Mandi,Good,Summer,0.6341165034683893,1.0340646206279427,22.582366151243292,269.12
Pomegranate,Delhi,Wholesale,Average,Spring,1.1023703546382313,1.3702605882265964,9.61138391610038,139.07
Guava,Mumbai,Retail,Average,Spring,0.5867640148450946,1.4752821041126492,22.675717699268514,161.35
Orange,Chennai,Retail,Premium,Summer,1.272871886472089,1.0929490726949012,24.926715516134486,101.09
Pomegranate,Jaipur,Wholesale,Good,Summer,1.8161912939455704,0.9124800340709648,7.5902984256560835,75.0
Guava,Bangalore,Wholesale,Good,Spring,0.9935770480548065,1.4452715906551918,19.704253090469056,79.56
Papaya,Ahmedabad,Mandi,Premium,Spring,0.6215693238614719,0.876146561559849,18.66517527319192,80.7
Grapes,Mumbai,Retail,Premium,Spring,1.8597705791668702,1.1570551535356592,18.242240202131292,142.81
Apple,Hyderabad,Mandi,Premium,Winter,1.5625444650725522,1.3696106626909377,18.949429233385672,143.07
Watermelon,Chennai,Mandi,Average,Monsoon,1.8224556991555252,1.4690522305479259,14.309400175399672,28.56
Pineapple,Delhi,Retail,Good,Summer,0.5095788075752503,0.9296305065399302,17.338538367514843,137.65
Apple,Jaipur,Wholesale,Average,Monsoon,1.3099780695737833,1.3238763161209148,7.139612776539169,88.83
Banana,Kolkata,Wholesale,Good,Spring,1.6562811628114846,1.4578383106050703,8.327551738645447,39.39
Papaya,Mumbai,Retail,Good,Summer,0.612041626636781,1.3819317273589182,24.80296745501294,127.13
Orange,Chennai,Wholesale,Average,Summer,0.9854153287243119,1.0909145523237327,20.408148356155863,66.5
Watermelon,Pune,Retail,Good,Monsoon,1.9164554524367448,0.7817548957549751,22.08419548923132,36.32
Mango,Delhi,Mandi,Good,Spring,0.9098892904973139,1.4606908498003284,8.021157835618006,167.54
Grapes,Kolkata,Mandi,Good,Winter,1.9759664719397423,1.0274672050520344,22.88198407358269,67.56
Apple,Jaipur,Retail,Average,Spring,1.9522901418720826,0.8484204125624969,22.372463359112217,66.81
Grapes,Ahmedabad,Mandi,Average,Monsoon,0.5267928387174791,1.337438262291222,10.883359466869557,214.09
Pineapple,Mumbai,Retail,Premium,Monsoon,0.7412382036172851,1.2212155734418118,11.518509279041497,138.66
Banana,Ahmedabad,Mandi,Premium,Summer,0.6086703316918383,1.0139948451253478,14.59877669434247,88.01
Guava,Mumbai,Retail,Premium,Spring,1.6237424586519247,0.8167376592281164,7.055848089853313,58.99
Papaya,Hyderabad,Wholesale,Good,Spring,0.9896919623659879,1.1141693147077691,6.7573299828966675,34.54
Mango,Lucknow,Retail,Average,Monsoon,0.8012886347934413,1.2545551526581447,21.428814560197328,152.64
Watermelon,Pune,Wholesale,Average,Summer,0.5473792172384631,1.4489697969949518,6.039425673029449,53.04
Pomegranate,Ahmedabad,Retail,Good,Spring,1.7222376706197684,0.7640918771077401,22.896333121210553,103.77
Mango,Hyderabad,Retail,Good,Monsoon,0.5611311591387091,0.8311995847915977,13.772144329790768,159.33
Guava,Bangalore,Retail,Average,Winter,1.6164185983924333,1.397466223178497,13.673106679127777,68.82
Orange,Delhi,Retail,Good,Winter,1.994500874085113,1.4798345297174265,18.00651372693874,81.08
Papaya,Mumbai,Mandi,Premium,Monsoon,1.123861049220411,1.3769962336152395,17.575296364118902,88.18
Mango,Ahmedabad,Retail,Premium,Winter,1.1579231287843856,1.2802061283321091,14.733378828494057,145.09
Orange,Lucknow,Retail,Premium,Spring,1.1987192105303728,1.3687984510249676,9.715841879184197,111.82
Watermelon,Ahmedabad,Retail,Average,Monsoon,1.9570926410624594,0.8447815621675918,22.087701867391583,29.26
Pomegranate,Pune,Wholesale,Good,Winter,1.0866223049776411,1.47552985786823,10.16266865402255,161.64
Grapes,Kolkata,Mandi,Premium,Spring,1.094989664515343,0.8896222856866689,9.693480765231023,116.34
Watermelon,Lucknow,Retail,Premium,Summer,1.3818265566655805,1.458866683881147,10.050555641508385,52.4
Papaya,Chennai,Wholesale,Average,Summer,1.3002678879495435,1.3254322638760234,19.10771188224407,43.91
Papaya,Chennai,Retail,Good,Monsoon,0.8466963686414699,0.7413574697932215,17.800059336738272,51.41
Orange,Hyderabad,Wholesale,Premium,Winter,1.2608522130325888,0.7332582872403136,7.966864019241777,46.59
Pomegranate,Delhi,Mandi,Good,Spring,0.6990719807289161,0.8148338896315143,23.796395838536835,221.36
Pineapple,Ahmedabad,Retail,Premium,Summer,0.734245767188261,0.8876490346678629,24.26693665640798,115.47
Pineapple,Lucknow,Mandi,Good,Monsoon,1.4267708603018208,1.3951239875829746,16.412194932776593,56.73
Pomegranate,Jaipur,Retail,Premium,Summer,1.488328205348986,1.0150915245233267,18.02465954082984,171.57
Banana,Hyderabad,Mandi,Premium,Summer,1.8061301755058887,1.3259083872466189,16.340325219733355,51.54
Guava,Chennai,Retail,Premium,Monsoon,1.501390078345377,1.346276753553007,20.245702695532316,86.7
Apple,Ahmedabad,Retail,Good,Winter,0.9868787448504055,0.9931692278971183,12.923453832185107,154.36
Grapes,Bangalore,Wholesale,Premium,Summer,1.0598776874440101,0.8818157018105212,6.463918475368873,116.34
Watermelon,Delhi,Retail,Premium,Winter,1.9272178394989867,1.3777338890980593,23.2847303190294,58.64
Watermelon,Jaipur,Wholesale,Good,Spring,1.3004038200903176,1.1863240742347556,20.297665230842565,39.79
Grapes,Pune,Mandi,Average,Spring,1.8470458234249802,0.8947858372610393,23.540690895926133,69.41
Mango,Kolkata,Wholesale,Good,Winter,1.2288076387794884,0.9054212541764063,10.697458039238457,59.92
Orange,Ahmedabad,Retail,Good,Monsoon,1.9650878579938684,1.3585392124765283,15.449620810322367,61.76
Pineapple,Lucknow,Mandi,Premium,Winter,0.6603153846421157,1.1538497757031227,10.131255674027276,116.57
Pineapple,Hyderabad,Wholesale,Premium,Monsoon,0.5038760222674736,1.210388164634638,15.303503406674633,120.66
Guava,Lucknow,Wholesale,Average,Monsoon,1.0411587786658998,1.4247128838302083,20.39889400503358,55.51
Mango,Delhi,Mandi,Average,Monsoon,1.649984202800609,0.8197631743655661,13.47889625826604,56.25
Grapes,Mumbai,Mandi,Good,Summer,0.6435718332802426,0.7189108688370691,17.83943000886532,151.04
Watermelon,Jaipur,Retail,Premium,Summer,0.7126615902906528,0.9196322032001003,16.940938337913835,66.36
Banana,Bangalore,Retail,Good,Summer,1.5386542269865544,1.4930047949617506,7.567885789082505,66.8
Watermelon,Pune,Wholesale,Good,Spring,1.8412863119961775,0.8534938597749943,11.467431242310415,19.12
Papaya,Jaipur,Mandi,Premium,Summer,1.5044039242009428,0.7559452845675473,17.80336447656332,43.7
Orange,Hyderabad,Wholesale,Good,Winter,0.5785083136797624,1.0027811387886953,12.25888543691984,84.08
Orange,Delhi,Mandi,Good,Spring,1.3434452238168646,1.4661002276043043,8.506058847153193,76.2
Watermelon,Jaipur,Mandi,Premium,Spring,1.6931749411845938,1.4417422555835622,9.69284163710907,39.29
Orange,Ahmedabad,Retail,Premium,Spring,1.3099356954208394,1.373626635501137,15.419159545440843,118.96
Pineapple,Mumbai,Wholesale,Good,Spring,0.5542405707871432,0.9425026847562629,10.262251398216858,87.47
Banana,Jaipur,Wholesale,Good,Winter,1.2645863701275473,1.3602288865863175,10.594070769429585,44.56
Papaya,Kolkata,Retail,Average,Summer,1.7261745627367873,1.004498634781264,22.55948640890139,39.34
Papaya,Bangalore,Mandi,Good,Summer,0.5343407374641804,0.8230329197344248,9.472288689926225,72.08
Watermelon,Jaipur,Retail,Premium,Summer,1.8841357857700916,1.0896495350551487,17.12505875501955,42.19
Papaya,Chennai,Mandi,Average,Summer,1.4994603287525596,0.7974095289002198,14.564680460961446,26.63
Mango,Delhi,Wholesale,Average,Monsoon,0.5265317144198858,1.182042531074292,12.29596438289059,136.66
Orange,Kolkata,Mandi,Good,Monsoon,1.226902380528297,1.3034028354750904,17.389955028151753,75.06
Guava,Bangalore,Wholesale,Premium,Spring,0.65156871651597,1.2537290733553055,6.245835962601253,115.32
Mango,Chennai,Mandi,Premium,Summer,0.9593804311799174,1.1991166690333108,15.540829278233034,113.27
Mango,Bangalore,Mandi,Average,Spring,0.7653307177157815,1.0096630082685047,24.27644550964702,123.97
Pineapple,Delhi,Retail,Average,Summer,0.8897198131175513,1.308231858497708,7.742194114579981,72.2
Grapes,Lucknow,Retail,Premium,Summer,0.5969250197661292,0.7341065674296261,12.428171353002815,194.01
Apple,Kolkata,Mandi,Premium,Monsoon,1.7969905882106265,0.8947823747238938,18.034212958219367,93.46
Papaya,Lucknow,Wholesale,Good,Summer,0.6532242944863071,1.2269537169659548,23.856622828265234,75.48
Banana,Mumbai,Retail,Good,Monsoon,1.6717556356803789,1.360105756742963,14.909042069219636,56.61
Apple,Mumbai,Mandi,Premium,Winter,1.982412906500197,1.0546184699548946,5.956616407882109,78.29
Pomegranate,Jaipur,Mandi,Average,Summer,0.6068850916478878,0.7096867801879099,24.1300279659896,144.42
Mango,Chennai,Mandi,Average,Winter,1.0322620403853355,1.0297047442102172,15.992320874378489,91.25
Papaya,Ahmedabad,Retail,Good,Winter,1.9517900522675458,0.9363558219819361,20.384462956762672,35.44
Banana,Bangalore,Wholesale,Good,Spring,1.465856380311696,1.1242417065993267,5.839024468632726,41.41
Banana,Lucknow,Wholesale,Average,Spring,1.22902325446631,1.4362377449755261,15.415362836684254,39.8
Watermelon,Mumbai,Retail,Average,Summer,1.148115324416294,1.0515239917555617,17.25879164989051,43.54
Papaya,Chennai,Retail,Premium,Spring,1.8303873503139043,1.216648650124165,10.718135784783202,45.54
Apple,Jaipur,Mandi,Good,Summer,1.19080924591121,1.3735988423120493,19.569813543232264,167.18
Pineapple,Pune,Mandi,Good,Monsoon,1.9060820997456784,0.7345389886376092,8.296296314588743,28.52
Banana,Bangalore,Mandi,Premium,Monsoon,1.3855215356881594,1.106688437533024,10.950969026376411,59.26
Orange,Pune,Wholesale,Good,Winter,1.815707662267106,1.0470404098038175,8.216963479154924,41.63
Grapes,Bangalore,Wholesale,Average,Spring,1.4863404691670346,0.9487431440060433,19.846961011450183,74.32
Pineapple,Delhi,Wholesale,Premium,Summer,0.507844420314369,1.308792608022475,5.706227098804781,149.65
Banana,Kolkata,Wholesale,Average,Spring,0.9584063232353224,1.4013206094625605,24.926686752544946,61.67
Mango,Chennai,Retail,Good,Winter,1.4945630067507383,0.7015039068199285,8.567451686146597,47.87
Apple,Pune,Mandi,Premium,Monsoon,0.6562060368804312,0.880351004370955,19.058868819573537,228.25
Pomegranate,Ahmedabad,Retail,Good,Monsoon,0.534399216902063,0.9576864033833483,17.72981302098308,351.45
Watermelon,Hyderabad,Wholesale,Average,Spring,1.160298496933236,0.8179620213650272,11.56385507218623,21.57
Pineapple,Mumbai,Retail,Average,Spring,1.7020503737292785,1.3132708191773146,19.67231660084625,53.53
Papaya,Chennai,Mandi,Average,Winter,1.7597034284534259,1.0070663615464353,16.437445424543732,30.88
Grapes,Jaipur,Wholesale,Good,Monsoon,1.5503779391667816,1.1686481167775216,16.72958184377414,76.0
Orange,Kolkata,Mandi,Good,Winter,1.8090953757269028,1.373546853433447,8.722028356925547,54.43
Apple,Kolkata,Retail,Premium,Spring,0.620902270635687,1.2823514455790122,14.929223047105996,386.5
Papaya,Jaipur,Retail,Good,Spring,1.0982540445555942,1.4380984464702318,14.441208683939966,64.29
Grapes,Ahmedabad,Retail,Good,Monsoon,0.8704681986079997,1.4250036644168294,9.990923996990123,203.47
Watermelon,Jaipur,Wholesale,Good,Spring,1.7796344351054758,0.7372004691520524,17.393988803988314,23.82
Guava,Kolkata,Retail,Premium,Winter,1.8497500185309086,0.7174587174203916,18.275793723511782,47.85
Pineapple,Kolkata,Retail,Good,Spring,1.436638169707592,1.0955849050360744,24.59101680763514,69.69
Grapes,Bangalore,Mandi,Good,Summer,1.1958987300325044,1.4776042637052296,17.170545453929332,161.72
Banana,Kolkata,Mandi,Good,Summer,1.3418341824237874,1.1187127290994932,7.295377437384349,42.04
Banana,Lucknow,Mandi,Premium,Winter,1.3153073260139692,0.7653802765974226,14.166012830573129,41.88
Banana,Hyderabad,Wholesale,Good,Monsoon,1.1176483123767627,1.2207787737207632,15.908637388138109,50.42
Pomegranate,Ahmedabad,Retail,Average,Monsoon,1.6909845745520091,1.0978047442517505,11.795549431237703,115.5
Mango,Chennai,Retail,Average,Spring,1.4894440495921133,0.8292958490286971,10.109866893112095,56.07
Guava,Ahmedabad,Retail,Good,Summer,0.597806886890738,1.0711451014498663,23.184404117231203,119.88
Papaya,Pune,Mandi,Premium,Winter,1.6634177763879912,1.4715813231206494,9.075329182553782,56.03
Watermelon,Ahmedabad,Wholesale,Premium,Summer,1.4640119865086354,0.8566726500695351,22.939158608470688,33.17
Papaya,Delhi,Mandi,Average,Summer,0.9153567310667134,1.4868171781721777,7.814230560975169,69.38
Apple,Pune,Wholesale,Average,Summer,1.422947037604703,0.7667712679915066,22.648327368146774,63.73
Apple,Pune,Wholesale,Premium,Monsoon,0.7489323429436775,1.405542206643715,13.549793758412303,265.37
Pineapple,Kolkata,Wholesale,Average,Summer,1.734437669332229,0.8678023581469451,12.580542524381947,27.09
Papaya,Bangalore,Wholesale,Average,Monsoon,1.1888977957598208,0.9862386122603535,14.884248945005998,38.05
Orange,Lucknow,Wholesale,Good,Monsoon,1.1301780917715876,1.4242878994222963,19.793426014535275,84.72
Pineapple,Hyderabad,Wholesale,Premium,Spring,1.9686574070227318,1.2073137106365894,7.525294831290054,32.42
Banana,Delhi,Mandi,Average,Winter,1.4829236145374873,1.4933940937342711,6.453417432200325,41.88
Watermelon,Jaipur,Mandi,Good,Winter,0.5497840318436393,0.943157120992579,18.063255810625662,57.54
Mango,Mumbai,Mandi,Premium,Winter,1.848271082270371,1.2206148380469979,22.48453448276703,88.27
Mango,Kolkata,Retail,Average,Winter,0.6660808899894735,1.0380387426495556,5.840493503428106,128.37
Pomegranate,Lucknow,Retail,Average,Monsoon,0.9383273456928467,1.4286161293151323,20.079238071935677,263.92
Orange,Chennai,Retail,Good,Summer,0.6448017052931612,0.8935150626070711,5.248080725546296,103.73
Pomegranate,Chennai,Wholesale,Good,Winter,0.8395272415122289,1.2841969176721166,16.97616592766983,181.33
Papaya,Jaipur,Mandi,Average,Winter,1.7572282753278867,0.9282322706858531,13.583651867927138,30.37
Banana,Kolkata,Mandi,Premium,Summer,0.8303379520659726,1.090699703186351,19.751314981856538,83.13
